[38.58558, -76.86276]
[38.58565, -76.86286]
[38.58634, -76.86346]
[38.58764, -76.86452]
[38.58795, -76.86476]
[38.58943, -76.86615]
[38.5895, -76.86625]
[38.59075, -76.86746]
[38.59126, -76.86787]
[38.59184, -76.86825]
[38.59255, -76.86861]
[38.59677, -76.8705]
[38.59856, -76.87124]
[38.59866, -76.87127]
[38.59878, -76.87124]
[38.60108, -76.87212]
[38.60308, -76.87299]
[38.604, -76.87339]
[38.60705, -76.87476]
[38.60872, -76.87549]
[38.60966, -76.87601]
[38.61038, -76.87649]
[38.61101, -76.87695]
[38.61181, -76.87773]
[38.61241, -76.87843]
[38.61295, -76.87916]
[38.61435, -76.88122]
[38.61452, -76.88127]
[38.61469, -76.88127]
[38.61485, -76.88103]
[38.61535, -76.88013]
[38.6155, -76.87977]
[38.61559, -76.87949]
[38.61568, -76.87905]
[38.61592, -76.87741]
[38.61602, -76.87702]
[38.61622, -76.87651]
[38.61648, -76.87605]
[38.61679, -76.87566]
[38.61706, -76.87539]
[38.61743, -76.87511]
[38.61772, -76.87497]
[38.61812, -76.87486]
[38.6184, -76.87484]
[38.61874, -76.87485]
[38.61908, -76.87491]
[38.62009, -76.87527]
[38.62048, -76.87534]
[38.62076, -76.87534]
[38.62122, -76.87524]
[38.6217, -76.87509]
[38.62282, -76.87467]
[38.62353, -76.87443]
[38.62449, -76.87426]
[38.62476, -76.87423]
[38.6256, -76.87423]
[38.6267, -76.87433]
[38.62764, -76.87444]
[38.628, -76.87444]
[38.62841, -76.87442]
[38.63344, -76.87394]
[38.63479, -76.87384]
[38.63556, -76.87371]
[38.63677, -76.87345]
[38.63826, -76.87322]
[38.63984, -76.87302]
[38.64067, -76.87289]
[38.64195, -76.87274]
[38.64252, -76.87274]
[38.64439, -76.87281]
[38.64494, -76.8728]
[38.64806, -76.87253]
[38.64845, -76.87252]
[38.64894, -76.87258]
[38.65124, -76.87305]
[38.65419, -76.87393]
[38.6568, -76.8747]
[38.65711, -76.87472]
[38.6574, -76.87465]
[38.65771, -76.87448]
[38.658, -76.8743]
[38.65812, -76.87434]
[38.65864, -76.87402]
[38.65919, -76.87379]
[38.65972, -76.87364]
[38.66031, -76.87357]
[38.66077, -76.8736]
[38.66094, -76.8736]
[38.66133, -76.87366]
[38.66183, -76.87379]
[38.66368, -76.8744]
[38.66483, -76.87481]
[38.66803, -76.87584]
[38.66838, -76.87594]
[38.669, -76.87602]
[38.66953, -76.87606]
[38.67476, -76.87585]
[38.67607, -76.87566]
[38.67715, -76.87542]
[38.6778, -76.87522]
[38.67891, -76.87479]
[38.67974, -76.8744]
[38.6825, -76.87285]
[38.68302, -76.87262]
[38.68393, -76.87233]
[38.68451, -76.87221]
[38.68508, -76.87214]
[38.69215, -76.87204]
[38.69345, -76.87201]
[38.69409, -76.87201]
[38.6949, -76.872]
[38.69524, -76.87205]
[38.69586, -76.8722]
[38.69641, -76.87242]
[38.69693, -76.87271]
[38.6979, -76.87339]
[38.70003, -76.87495]
[38.70087, -76.87546]
[38.70153, -76.87579]
[38.70216, -76.87607]
[38.70295, -76.87635]
[38.70779, -76.87763]
[38.70923, -76.8778]
[38.71007, -76.87784]
[38.7131, -76.87779]
[38.71403, -76.8778]
[38.71507, -76.87791]
[38.71625, -76.8781]
[38.71685, -76.87824]
[38.72407, -76.88065]
[38.72493, -76.88088]
[38.72588, -76.88105]
[38.72798, -76.88125]
[38.72946, -76.88135]
[38.73351, -76.88172]
[38.7341, -76.88173]
[38.73467, -76.8817]
[38.73516, -76.8816]
[38.73548, -76.88152]
[38.73614, -76.88126]
[38.73686, -76.88085]
[38.73742, -76.88042]
[38.73818, -76.8798]
[38.7385, -76.87958]
[38.7388, -76.87939]
[38.73944, -76.87907]
[38.74001, -76.87888]
[38.74047, -76.87876]
[38.74108, -76.87868]
[38.74156, -76.87867]
[38.74251, -76.87876]
[38.74887, -76.87949]
[38.74976, -76.87954]
[38.75042, -76.87951]
[38.75138, -76.87933]
[38.75433, -76.87887]
[38.75523, -76.87882]
[38.75606, -76.87886]
[38.75682, -76.87898]
[38.75763, -76.87917]
[38.75837, -76.87944]
[38.75907, -76.87978]
[38.76636, -76.88389]
[38.76757, -76.88449]
[38.76906, -76.88513]
[38.77035, -76.8856]
[38.77279, -76.88637]
[38.77369, -76.88664]
[38.77504, -76.8872]
[38.77582, -76.88759]
[38.77671, -76.8881]
[38.77746, -76.88862]
[38.77837, -76.88935]
[38.77896, -76.8898]
[38.77979, -76.89062]
[38.78012, -76.89098]
[38.78185, -76.89307]
[38.78365, -76.89521]
[38.78412, -76.89568]
[38.78449, -76.896]
[38.78506, -76.89639]
[38.78558, -76.89666]
[38.78614, -76.89688]
[38.78647, -76.89695]
[38.78702, -76.89702]
[38.78835, -76.89715]
[38.78922, -76.89729]
[38.79019, -76.89753]
[38.79105, -76.8978]
[38.79548, -76.89958]
[38.79636, -76.90001]
[38.79729, -76.90051]
[38.79837, -76.90121]
[38.80187, -76.90366]
[38.80213, -76.9038]
[38.80951, -76.90889]
[38.8101, -76.90934]
[38.812, -76.91099]
[38.81322, -76.91217]
[38.81471, -76.91378]
[38.81712, -76.9165]
[38.81769, -76.91715]
[38.81794, -76.91741]
[38.81951, -76.91914]
[38.82011, -76.91975]
[38.82021, -76.91973]
[38.82045, -76.91987]
[38.82067, -76.91993]
[38.82089, -76.91991]
[38.82109, -76.91979]
[38.82121, -76.91962]
[38.82131, -76.91938]
[38.82133, -76.91909]
[38.82129, -76.91887]
[38.8212, -76.91866]
[38.82079, -76.9181]
[38.82067, -76.91799]
[38.82042, -76.9179]
[38.82026, -76.91791]
[38.82006, -76.91802]
[38.8199, -76.9182]
[38.81981, -76.91841]
[38.81977, -76.91866]
[38.81975, -76.91885]
[38.81968, -76.91896]
[38.82009, -76.922]
[38.82016, -76.92267]
[38.8202, -76.92381]
[38.82016, -76.9248]
[38.82003, -76.92606]
[38.81998, -76.92633]
[38.81852, -76.93256]
[38.81828, -76.93391]
[38.81813, -76.93499]
[38.81804, -76.93601]
[38.81799, -76.93722]
[38.818, -76.93862]
[38.81822, -76.94319]
[38.81821, -76.94414]
[38.81814, -76.94512]
[38.81799, -76.94615]
[38.8178, -76.94705]
[38.81763, -76.9477]
[38.81604, -76.95268]
[38.81459, -76.95713]
[38.81416, -76.95839]
[38.81373, -76.9594]
[38.8133, -76.96023]
[38.81289, -76.96094]
[38.81205, -76.96218]
[38.81064, -76.96424]
[38.81025, -76.96491]
[38.8099, -76.96562]
[38.80961, -76.96635]
[38.80933, -76.96723]
[38.80917, -76.96787]
[38.80787, -76.97605]
[38.80751, -76.97862]
[38.80721, -76.98119]
[38.80698, -76.9837]
[38.8069, -76.98425]
[38.80697, -76.98444]
[38.80636, -76.99139]
[38.80622, -76.99241]
[38.80599, -76.99353]
[38.80577, -76.99427]
[38.80544, -76.99519]
[38.80484, -76.99651]
[38.80375, -76.99879]
[38.79749, -77.01085]
[38.79747, -77.01101]
[38.79719, -77.01168]
[38.79699, -77.01237]
[38.79688, -77.01303]
[38.79683, -77.01354]
[38.79684, -77.01426]
[38.7969, -77.01484]
[38.79702, -77.01545]
[38.79743, -77.01686]
